"ESXi410-201404001","4.1.0 Patch 14",10.04.14,1682698
"ESXi410-201312001","4.1.0 Patch 13",05.12.13,1363503
"ESXi410-201307001","4.1.0 Patch 12",31.07.13,1198252
"ESXi410-201304001","4.1.0 Patch 11",30.04.13,1050704
"ESXi410-201301001","4.1.0 Patch 10",31.01.13,988178
"ESXi410-201211001","4.1.0 Patch 9",15.11.12,874690
"VMware ESXi 4.1 Update 3","4.1.0 U3",30.08.12,800380
"ESXi410-201206001","4.1.0 Patch 8",14.06.12,721871
"ESXi410-201205001","4.1.0 Patch 7",03.05.12,702113
"ESXi410-201204001","4.1.0 Patch 6",26.04.12,659051
"ESXi410-201201001","4.1.0 Patch 5",30.01.12,582267
"VMware ESXi 4.1 Update 2","4.1.0 U2",27.10.11,502767
"ESXi410-201107001","4.1.0 Patch 4",28.07.11,433742
"ESXi410-201104001","4.1.0 Patch 3",28.04.11,381591
"VMware ESXi 4.1 Update 1","4.1.0 U1",10.02.11,348481
"ESXi410-201011001","4.1.0 Patch 2",29.11.10,320137
"ESXi410-201010001","4.1.0 Patch 1",15.11.10,320092
"VMware ESXi 4.1",04.01.00,13.07.10,260247
